test,ctrl,ng/ml
0.652,0.864,2000
0.625,0.889,2000
0.629,0.864,2000
0.596,0.86,2000
0.643,0.912,2000
0.622,0.856,2000
0.668,0.87,2000
0.599,0.881,2000
0.615,0.857,2000
0.619,0.859,2000
0.604,0.837,2000
0.531,0.825,2000
0.557,0.824,2000
0.583,0.83,2000
0.64,0.846,2000
0.582,0.838,2000
0.638,0.846,2000
0.598,0.855,2000
0.595,0.835,2000
0.632,0.843,2000
0.572,0.831,2000
0.661,0.874,2000
0.614,0.866,2000
0.618,0.889,2000
0.611,0.867,2000
0.645,0.869,2000
0.611,0.867,2000
0.607,0.862,2000
0.64,0.894,2000
0.668,0.874,2000
0.606,0.871,2000
0.673,0.81,1000
0.656,0.804,1000
0.671,0.812,1000
0.695,0.805,1000
0.615,0.792,1000
0.626,0.801,1000
0.662,0.801,1000
0.715,0.814,1000
0.7,0.809,1000
0.657,0.805,1000
0.655,0.804,1000
0.682,0.794,1000
0.685,0.822,1000
0.689,0.843,1000
0.642,0.82,1000
0.682,0.823,1000
0.705,0.825,1000
0.635,0.819,1000
0.695,0.829,1000
0.677,0.842,1000
0.727,0.841,1000
0.722,0.839,1000
0.718,0.811,1000
0.721,0.809,1000
0.714,0.813,1000
0.722,0.816,1000
0.677,0.822,1000
0.697,0.807,1000
0.712,0.81,1000
0.697,0.803,1000
0.68,0.8,1000
0.717,0.815,1000
0.708,0.808,1000
0.723,0.777,500
0.743,0.787,500
0.689,0.766,500
0.745,0.789,500
0.731,0.78,500
0.717,0.769,500
0.734,0.78,500
0.676,0.762,500
0.719,0.769,500
0.7,0.769,500
0.774,0.812,500
0.773,0.811,500
0.748,0.813,500
0.776,0.803,500
0.72,0.779,500
0.744,0.789,500
0.712,0.791,500
0.745,0.789,500
0.748,0.812,500
0.762,0.798,500
0.716,0.793,500
0.759,0.795,500
0.796,0.811,500
0.787,0.826,500
0.808,0.815,500
0.795,0.811,500
0.816,0.826,500
0.805,0.815,500
0.77,0.829,500
0.817,0.827,500
0.787,0.801,500
0.779,0.794,500
0.781,0.799,500
0.871,0.769,250
0.866,0.77,250
0.844,0.768,250
0.871,0.768,250
0.842,0.769,250
0.881,0.782,250
0.881,0.784,250
0.887,0.794,250
0.872,0.773,250
0.871,0.775,250
0.882,0.778,250
0.874,0.774,250
0.859,0.762,250
0.842,0.781,250
0.873,0.778,250
0.852,0.764,250
0.876,0.785,250
0.882,0.793,250
0.88,0.789,250
0.871,0.778,250
0.826,0.768,250
0.826,0.749,250
0.872,0.781,250
0.873,0.775,250
0.879,0.821,250
0.891,0.802,250
0.889,0.8,250
0.869,0.774,250
0.881,0.808,250
0.888,0.794,250
0.865,0.771,250
0.873,0.781,250
0.872,0.82,250
0.873,0.772,250
0.92,0.763,125
0.91,0.753,125
0.896,0.751,125
0.9,0.768,125
0.905,0.751,125
0.916,0.801,125
0.924,0.766,125
0.918,0.757,125
0.909,0.776,125
0.926,0.767,125
0.922,0.762,125
0.936,0.769,125
0.93,0.774,125
0.923,0.792,125
0.925,0.758,125
0.911,0.766,125
0.905,0.748,125
0.912,0.745,125
0.933,0.769,125
0.918,0.743,125
0.888,0.795,125
0.927,0.775,125
0.937,0.776,125
0.94,0.777,125
0.916,0.763,125
0.9,0.76,125
0.917,0.761,125
0.896,0.757,125
0.914,0.763,125
0.9,0.761,125
0.907,0.746,125
0.911,0.786,125
0.899,0.778,125
0.923,0.774,125
0.909,0.798,125
0.973,0.791,0
0.961,0.842,0
0.979,0.76,0
0.971,0.792,0
0.961,0.814,0
0.966,0.79,0
0.972,0.797,0
0.96,0.785,0
0.976,0.784,0
0.965,0.78,0
0.94,0.813,0
0.98,0.76,0
0.975,0.774,0
0.96,0.786,0
0.945,0.775,0
0.937,0.809,0
0.972,0.764,0
0.954,0.8,0
0.954,0.818,0
0.959,0.788,0
0.956,0.783,0
0.955,0.793,0
